datetime,BPM
2018-02-24 19:46:28,49
2018-02-24 19:46:29,54
2018-02-24 19:46:30,62
2018-02-24 19:46:31,62
2018-02-24 19:46:32,57
2018-02-24 19:46:33,54
2018-02-24 19:46:34,54
2018-02-24 19:46:35,52
2018-02-24 19:46:36,52
2018-02-24 19:46:37,57
2018-02-24 19:46:38,64
2018-02-24 19:46:39,64
2018-02-24 19:46:40,56
2018-02-24 19:46:41,52
2018-02-24 19:46:42,49
2018-02-24 19:46:43,55
2018-02-24 19:46:44,62
2018-02-24 19:46:45,62
2018-02-24 19:46:46,62
2018-02-24 19:46:47,56
2018-02-24 19:46:48,54
2018-02-24 19:46:49,54
2018-02-24 19:46:50,47
2018-02-24 19:46:51,44
2018-02-24 19:46:52,44
2018-02-24 19:46:53,46
2018-02-24 19:46:54,46
2018-02-24 19:46:55,0
2018-02-24 19:46:56,0
2018-02-24 19:46:57,0
2018-02-24 19:46:58,0
2018-02-24 19:46:59,45
2018-02-24 19:47:00,45
2018-02-24 19:47:01,0
2018-02-24 19:47:02,0
2018-02-24 19:47:03,68
2018-02-24 19:47:04,68
2018-02-24 19:47:05,68
2018-02-24 19:47:06,68
2018-02-24 19:47:07,69
2018-02-24 19:47:08,69
2018-02-24 19:47:09,70
2018-02-24 19:47:10,71
2018-02-24 19:47:11,73
2018-02-24 19:47:12,74
2018-02-24 19:47:13,74
2018-02-24 19:47:14,74
2018-02-24 19:47:15,75
2018-02-24 19:47:16,75
2018-02-24 19:47:17,74
2018-02-24 19:47:18,74
2018-02-24 19:47:19,74
2018-02-24 19:47:20,73
2018-02-24 19:47:21,73
2018-02-24 19:47:22,72
2018-02-24 19:47:23,73
2018-02-24 19:47:24,72
2018-02-24 19:47:25,72
2018-02-24 19:47:26,72
2018-02-24 19:47:27,72
2018-02-24 19:47:28,0
2018-02-24 19:47:29,0
2018-02-24 19:47:30,69
2018-02-24 19:47:31,68
2018-02-24 19:47:32,68
2018-02-24 19:47:33,68
2018-02-24 19:47:34,67
2018-02-24 19:47:35,67
2018-02-24 19:47:36,67
2018-02-24 19:47:37,67
2018-02-24 19:47:38,70
2018-02-24 19:47:39,76
2018-02-24 19:47:40,76
2018-02-24 19:47:41,76
2018-02-24 19:47:42,0
2018-02-24 19:47:43,65
2018-02-24 19:47:44,72
2018-02-24 19:47:45,72
2018-02-24 19:47:46,72
2018-02-24 19:47:47,62
2018-02-24 19:47:48,62
2018-02-24 19:47:49,59
2018-02-24 19:47:50,56
2018-02-24 19:47:51,57
2018-02-24 19:47:52,54
2018-02-24 19:47:53,54
2018-02-24 19:47:54,54
2018-02-24 19:47:55,54
2018-02-24 19:47:56,54
2018-02-24 19:47:57,46
2018-02-24 19:47:58,46
2018-02-24 19:47:59,46
2018-02-24 19:48:00,0
2018-02-24 19:48:01,0
2018-02-24 19:48:02,58
2018-02-24 19:48:03,58
2018-02-24 19:48:04,71
2018-02-24 19:48:05,74
2018-02-24 19:48:06,74
2018-02-24 19:48:07,67
2018-02-24 19:48:08,66
2018-02-24 19:48:09,66
2018-02-24 19:48:10,66
2018-02-24 19:48:11,0
2018-02-24 19:48:12,0
2018-02-24 19:48:13,67
2018-02-24 19:48:14,75
2018-02-24 19:48:15,81
2018-02-24 19:48:16,81
2018-02-24 19:48:17,0
2018-02-24 19:48:18,0
2018-02-24 19:48:19,72
2018-02-24 19:48:20,73
2018-02-24 19:48:21,75
2018-02-24 19:48:22,84
2018-02-24 19:48:23,109
2018-02-24 19:48:24,112
2018-02-24 19:48:25,135
2018-02-24 19:48:26,131
2018-02-24 19:48:27,123
2018-02-24 19:48:28,111
2018-02-24 19:48:29,124
2018-02-24 19:48:30,112
2018-02-24 19:48:31,112
2018-02-24 19:48:32,112
2018-02-24 19:48:33,0
2018-02-24 19:48:34,0
2018-02-24 19:48:35,45
2018-02-24 19:48:36,49
2018-02-24 19:48:37,50
2018-02-24 19:48:38,53
2018-02-24 19:48:39,55
2018-02-24 19:48:40,55
2018-02-24 19:48:41,0
2018-02-24 19:48:42,0
2018-02-24 19:48:43,0
2018-02-24 19:48:44,0
2018-02-24 19:48:45,0
2018-02-24 19:48:46,64
2018-02-24 19:48:47,66
2018-02-24 19:48:48,71
2018-02-24 19:48:49,76
2018-02-24 19:48:50,76
2018-02-24 19:48:51,0
2018-02-24 19:48:52,0
2018-02-24 19:48:53,71
2018-02-24 19:48:54,71
2018-02-24 19:48:55,60
2018-02-24 19:48:56,60
2018-02-24 19:48:57,60
2018-02-24 19:48:58,52
